Account,Token Account,Quantity,Percentage
GKeCv18zy5vvmLf4ieL4Z97YQKzVEZECSr3dCfSesoEu,5bv1vbUsfJp7Zt8HE8T4UsrP9bgN4tExU7az7Bxar3Ja,479597.72635,0.05
EKj1nABkaiLxhbV22okf9eZmNNDXU7MuGnyazkudbY2x,3ziygdHq12nsRb6Dywk5qP7n2L7mG5eJ51HyNiP7r62a,421869.303442,0.04
DU4udgME5PEWbHvWxy14f2wXzJbpy6kous8TGEKP6AkB,3RUXCfGwL3JVPJcmqu1un8gmLpdnjnzh6H8XxzvmHp3Z,404923.874311,0.04
4CjF33vthK4RdrzJksyKZbep7AioKmiLHbLff8AdapvW,526xQTzUWTjQENaeWqbcN1Jt9NUdY8jWEUwvCMGwkfjc,367506.199147,0.04
58cSToHQf2xpmHAHbgAtHPii5Pa34pDcGzxu358E5L6b,BrbwEh3cvZDsFxN8Xw3sTiRBMcDQ418z87qt2d8kVZkM,349969.551412,0.03
5h35Uoipzhud3xWfiC3CqjHEfvjdiNKgybKscUVdn5S1,FhU31ghLBwamQpGEN8J1yvhLh69nCDyGxg4F7wQtHNr,335752.168773,0.03
98LF7YAGjPx3Y8PJAwTrg4esrDYx7giH9QM2fjvfo5tw,GiDMxPmNjrfNvcjXGjwVveN9erfmHMe9hWnnXjdTJLnF,308775,0.03
9DKdyqU1NTrUfC9VRYQW4NQeZmvS1wFNy6U831iveLEh,7mw6CPCC2ndshBaVHS61ejDVDpy2uvwMV4ZCaGDyKzwV,305492.351649,0.03
8cra9uZy4H5m751vAv7NWfrvJJvrpEtZD6iBFgjUGPu9,DEr5EgK956sHm5azXJcpesJU2q8BWJ7RBGHnVf4eC3cb,291847.047445,0.03
9K8eYjaB3jjPYm7tBgDwXDB6cQ341FSHjnYqM961YJtE,FQT6LbWFgJjTnK1cS93uGuXBNRa25AXSKsiRCJVypD5b,276134.323339,0.03
2ivJak1wkRYJGmvQXMnMBRQBRBD1jeHc2xEwDRsr7xJ3,2d5qJXinxyyNxyLhdrAS7pjUmfk9pWv3g8RJzALEupMj,259075.399416,0.03
F3ivwEvGtyNwaB4DNazoLtxsrxZ4bPWBVfCAiJCDgLGD,9Dnf5j4zfQoGdXTRNetzUhbcs3pgrQsETtwgdZXYjzZG,254132.815143,0.03
AmWVtRp9tP9Gm2FYi2df874c87TBJCSN4N7T6EAjwCXo,4ktNvWZdUudkM6fWWKQ8gRVJzbztGhY6ALZNCuzKAkkP,250000,0.02
FsEtnhCjQ2HUya9J6ZEwouhG9nmkXmyoeN2rwFr4Za5F,iS651iJtnuNSny7WqaATVjPxnCRiwv4RVMZM2x6VjMt,234609.905859,0.02
2kivXfA14CNAH2JVzyws6rcJqMcri37L8gfdKRhMCihf,9VhSHz78bCZBuM21Wpphu3Ps8T85NxQSXNzJRCeaBUPr,230895.013898,0.02
7PWbyijYZ8pxwEHpmrbP3CjxeLc7aTXjwm8jH7GDkpoW,9742N46ZY5SXU7t8cWkr15R7hMfzXuQPxjKvUiYPSW4U,215545.576448,0.02
8CQ27mFv3yKguN4946LDhanzmf4GLrnG4k4phF2MudBr,DakEnm5dVwnavZWQwcDyRs5a4gJ4wXiVCA3hZAAQhttV,214842.954185,0.02
8Pcxdut5DSpLiGX4eHfri5zbySTFMU98Jy3t6KmwByU8,7Rif26EemxJZPbWCAsdNvMfN1teUAL7FNarzR5TwCnVN,213846.346888,0.02
BEochrdGhm5pcKVF73DURYrGo1DLzxq6bBcUBphQR64d,H6ghWQRdnRdCAViZZxU7B2QzKMVHaeYsJAGL4KAGHj1g,209982.809565,0.02
4XQRDWVUFJXoswaU6t3rbXB5DVro55AjTZsnBxj9V4WF,m3b7qjSpAnmYziRjXz2o9cSBUnndsgAxhNiod3vYLKP,207482.734933,0.02
8e16LDfXKeUe4Pnw6UFhXJhjr57YPH27gHUTe4vayTNE,GXsrbzF5Tard7u3cqvsQwJFgfkcmRF1LXCGSK8N921Xw,203413.709264,0.02
CCUBdSPiJoHmVNv2vGEgUJBafNfsXCZKCCSwNhAmstAa,BdjvUDi6MbGTLpKc7XruhCLeGC5oNyuyaMhUvngycvjK,201245.608905,0.02
HtxbQpsYCeqrwNEZhixHdQuC9AnBmWV4upWVV9A6KDAK,9phF4WdgwqgAtPtN3qcp2ZWc2z5Y3Cf7QoL32babUqxi,200757.462223,0.02
56GXb1Gt4KaNDUnXZyk45N4UPYnE57soqkc7NcE4FvXh,931xDNQ2xPfhB6hQUEe4YYsjyN6NnscnkyWTLBx2yKWG,190126.6698,0.02
G8cg2Qkz6fC5reFqERn18f4Cha5LvxGVN73GSbqs6SGE,64ghwRDptWjim42cQtspSU6yFzZg35oKPCTG2DjMRSN6,166153.844517,0.02
J4AoDT349ShnbkbzxrsrDWnoXehf1zgrkdB8uxDVLYx9,7huirj7k9GgiQ4RhPxfXRn4K8CvVKPBkEqPkFh4mPxj7,160778.538837,0.02
6Dkz59SkPY26etfcgjQMJGmh6p8XmkhLEd43daNuAqqp,3trXpzaQ3MLneBywgKmzbxzHqzeiY1T21EtQabY1sLxC,154664.226042,0.02
3S5bkgc2XEWh2RdT1KfvTef7QPSagGcDptBJG65iAbB7,3MccnGMdnP3uatdFUBbSsyUqStNqtbSmsgvupF49ULP2,146591.158814,0.01
